variable,data_set,type,variable
document_path,test,object,
filename,test,object,
category,test,object,
text,test,object,
tokens,test,object,
bigrams,test,object,
modeling_text_list,test,object,
modeling_text,test,object,
document_path,train,object,
filename,train,object,
category,train,object,
text,train,object,
tokens,train,object,
bigrams,train,object,
modeling_text_list,train,object,
modeling_text,train,object,
document_path,observations,object,
filename,observations,object,
category,observations,object,
text,observations,object,
tokens,observations,object,
bigrams,observations,object,
modeling_text_list,observations,object,
modeling_text,observations,object,
